date,count
2019/4/22 10:35,99.34
2019/4/22 10:36,99.29
2019/4/22 10:56,99.26
2019/4/22 11:03,99.37
2019/4/22 11:15,99.27
2019/4/22 11:32,99.32
2019/4/22 11:35,99.33
2019/4/22 11:40,99.27
2019/4/22 11:54,99.35
2019/4/22 12:04,99.32
2019/4/22 12:11,99.24
2019/4/22 12:23,99.37
2019/4/22 12:34,99.32
2019/4/22 12:42,99.38
2019/4/22 12:56,99.35
2019/4/22 13:03,99.38
2019/4/22 13:15,99.38
2019/4/22 13:22,99.37
2019/4/22 13:31,99.4
2019/4/22 13:45,99.29
2019/4/22 13:56,99.26
2019/4/22 14:03,99.33
2019/4/22 14:22,99.24
2019/4/22 14:22,99.41
2019/4/22 14:38,99.3
2019/4/22 14:42,99.4
2019/4/22 14:52,99.35
2019/4/22 15:04,99.29
2019/4/22 15:17,99.24
2019/4/22 15:23,99.32
2019/4/22 15:36,99.27
2019/4/22 15:45,99.38
2019/4/22 15:55,99.32
2019/4/22 16:08,99.29
2019/4/22 16:16,99.33
2019/4/22 16:22,99.29
2019/4/22 16:36,99.19
2019/4/22 16:43,99.35
2019/4/22 16:53,99.26
2019/4/22 17:02,99.46
2019/4/22 17:17,99.3
2019/4/22 17:23,99.29
2019/4/22 17:37,99.27
2019/4/22 17:46,99.29
2019/4/22 17:55,99.3
2019/4/22 18:02,99.21
2019/4/22 18:19,99.29
2019/4/22 18:22,99.21
2019/4/22 18:35,99.29
2019/4/22 18:44,99.35
2019/4/22 18:54,99.26
2019/4/22 19:09,99.29
2019/4/22 19:17,99.38
2019/4/22 19:23,99.35
2019/4/22 19:34,99.33
2019/4/22 19:47,99.18
2019/4/22 19:57,99.3
2019/4/22 20:03,99.24
2019/4/22 20:15,99.32
2019/4/22 20:21,99.24
2019/4/22 20:41,99.2
2019/4/22 20:48,99.33
2019/4/22 20:52,99.29
2019/4/22 21:03,99.21
2019/4/22 21:15,99.29
2019/4/22 21:22,99.37
2019/4/22 21:35,99.26
2019/4/22 21:45,99.41
2019/4/22 21:59,99.32
2019/4/22 22:00,99.29
2019/4/22 22:16,99.29
2019/4/22 22:25,99.09
2019/4/22 22:35,99.35
2019/4/22 22:45,99.23
2019/4/22 23:00,99.24
2019/4/22 23:04,99.44
2019/4/22 23:15,99.41
2019/4/22 23:23,99.41
2019/4/22 23:35,99.37
2019/4/22 23:46,99.27
2019/4/22 23:52,99.27
2019/4/23 0:01,99.23
2019/4/23 0:10,99.24
2019/4/23 0:20,99.24
2019/4/23 0:30,99.38
2019/4/23 0:40,99.32
2019/4/23 0:50,99.3
2019/4/23 1:00,99.29
2019/4/23 1:10,99.27
2019/4/23 1:20,99.32
2019/4/23 1:31,99.24
2019/4/23 1:40,99.26
2019/4/23 1:50,99.18
2019/4/23 2:00,99.26
2019/4/23 2:10,99.3
2019/4/23 2:20,99.46
2019/4/23 2:31,99.2
2019/4/23 2:40,99.2
2019/4/23 2:50,99.32
2019/4/23 3:00,99.37
2019/4/23 3:10,99.33
2019/4/23 3:20,99.33
2019/4/23 3:30,99.38
2019/4/23 3:40,99.18
2019/4/23 3:50,99.44
2019/4/23 4:00,99.18
2019/4/23 4:10,99.37
2019/4/23 4:20,99.27
2019/4/23 4:30,99.27
2019/4/23 4:40,99.29
2019/4/23 4:50,99.23
2019/4/23 5:00,99.38
2019/4/23 5:10,99.41
2019/4/23 5:20,99.33
2019/4/23 5:30,99.46
2019/4/23 5:40,99.23
2019/4/23 5:50,99.41
2019/4/23 6:00,99.35
2019/4/23 6:10,99.24
2019/4/23 6:20,99.43
2019/4/23 6:30,99.04
2019/4/23 6:40,99.23
2019/4/23 6:50,99.18
2019/4/23 7:00,99.29
2019/4/23 7:10,99.36
2019/4/23 7:20,99.27
2019/4/23 7:30,99.24
2019/4/23 7:40,99.26
2019/4/23 7:50,99.32
2019/4/23 8:00,99.3
2019/4/23 8:10,99.37
2019/4/23 8:20,99.3
2019/4/23 8:30,99.23
2019/4/23 8:40,99.3
2019/4/23 8:50,99.21
2019/4/23 9:00,99.3
2019/4/23 9:10,99.37
2019/4/23 9:20,99.33
2019/4/23 9:30,99.18
2019/4/23 9:40,99.3
2019/4/23 9:50,99.29
2019/4/23 10:00,99.33
2019/4/23 10:10,99.33
2019/4/23 10:50,99.26
2019/4/23 11:10,99.3
2019/4/23 11:20,99.26
2019/4/23 11:30,99.32
2019/4/23 11:40,99.37
2019/4/23 11:50,99.35
2019/4/23 12:00,99.26
2019/4/23 12:10,99.32
2019/4/23 12:20,99.34
2019/4/23 12:30,99.41
2019/4/23 12:40,99.29
2019/4/23 12:50,99.24
2019/4/23 13:00,99.4
2019/4/23 13:10,99.15
2019/4/23 13:20,99.37
2019/4/23 13:30,99.33
2019/4/23 13:40,99.21
2019/4/23 13:50,99.16
2019/4/23 14:00,99.24
2019/4/23 14:10,99.24
2019/4/23 14:20,99.23
2019/4/23 14:30,99.23
2019/4/23 14:40,99.3
2019/4/23 14:50,99.26
2019/4/23 15:00,99.07
2019/4/23 15:10,99.38
2019/4/23 15:20,99.24
2019/4/23 15:30,99.24
2019/4/23 15:40,99.38
2019/4/23 15:50,99.35
2019/4/23 16:00,99.29
2019/4/23 16:10,99.49
2019/4/23 16:20,99.32
2019/4/23 16:30,99.35
2019/4/23 16:40,99.24
2019/4/23 16:50,99.37
2019/4/23 17:00,99.35
2019/4/23 17:10,99.49
2019/4/23 17:20,99.35
2019/4/23 17:30,99.41
2019/4/23 17:40,99.26
2019/4/23 17:50,99.32
2019/4/23 18:00,99.32
2019/4/23 18:10,99.21
2019/4/23 18:20,99.24
2019/4/23 18:30,99.33
